id,name,region,population,num_cities,urban_ratio,avg_salary,entrepreneur_1000,num_municipality_pop_0-499,num_municipality_pop_500-1999,num_municipality_pop_2000-9999,num_municipality_pop_10000+,unemployment_rate_95,unemployment_rate_96,commited_crimes_95,commited_crimes_96
1,Hl.m. Praha,Prague,1204953,1,100.0,12541,167,0,0,0,1,0,0,85677,85677
2,Benesov,central Bohemia,88884,5,46.7,8507,132,80,26,6,2,1,1,2159,2159
3,Beroun,central Bohemia,75232,5,41.7,8980,111,55,26,4,1,1,1,2824,2824
4,Kladno,central Bohemia,149893,6,67.4,9753,109,63,29,6,2,4,4,5244,5244
5,Kolin,central Bohemia,95616,6,51.4,9307,118,65,30,4,1,3,3,2616,2616
6,Kutna Hora,central Bohemia,77963,4,51.5,8546,126,60,23,4,2,2,2,2640,2640
7,Melnik,central Bohemia,94725,6,63.4,9920,130,38,28,1,3,2,2,4289,4289
8,Mlada Boleslav,central Bohemia,112065,8,69.4,11277,127,95,19,7,1,1,1,5179,5179
9,Nymburk,central Bohemia,81344,6,55.3,8899,149,61,23,4,2,3,3,2987,2987
10,Praha - vychod,central Bohemia,92084,5,46.7,10124,141,55,29,4,3,0,0,3810,3810
11,Praha - zapad,central Bohemia,75637,7,36.5,9622,154,35,36,9,0,0,0,3475,3475
12,Pribram,central Bohemia,107870,6,58.0,8754,137,84,29,6,1,3,3,3804,3804
13,Rakovnik,central Bohemia,53921,2,41.3,8598,123,61,22,1,1,2,2,1597,1597
14,Ceske Budejovice,south Bohemia,177686,9,74.8,10045,135,69,27,10,1,1,1,6604,6604
15,Cesky Krumlov,south Bohemia,58796,5,51.9,9045,124,22,16,7,1,3,3,1845,1845
16,Jindrichuv Hradec,south Bohemia,93931,8,56.9,8427,107,74,21,10,1,1,1,1874,1874
17,Pelhrimov,south Bohemia,74062,7,61.4,8114,119,99,15,4,2,2,2,1003,1003
18,Pisek,south Bohemia,70699,4,65.3,8968,131,60,13,2,1,2,2,1740,1740
19,Prachatice,south Bohemia,51428,4,52.7,8402,120,50,11,3,1,3,3,999,999
20,Strakonice,south Bohemia,70646,4,58.4,8547,120,94,14,3,1,2,2,1563,1563
21,Tabor,south Bohemia,103347,7,67.0,9104,123,87,16,7,1,1,1,2299,2299
22,Domazlice,west Bohemia,58400,6,52.4,8620,100,65,16,4,1,1,1,1089,1089
23,Cheb,west Bohemia,87419,9,85.5,8624,102,21,11,4,3,1,1,2879,2879
